,AAPL,PETS,STMP,VZ,SO,T,FXY,FXB,FXF,VCLT
2015-01-02,100.45429992675781,11.998557090759277,47.59000015258789,37.04061508178711,38.56935119628906,25.44614601135254,80.72000122070312,150.61000061035156,97.41000366210938,75.279541015625
2015-01-05,97.62433624267578,11.874347686767578,46.59000015258789,36.733001708984375,38.40529251098633,25.205732345581055,81.30999755859375,149.82000732421875,96.91000366210938,75.40081024169922
2015-01-06,97.633544921875,11.799824714660645,45.83000183105469,37.10373306274414,38.86621856689453,25.24329376220703,82.11000061035156,148.80999755859375,96.66000366210938,76.20085144042969
2015-01-07,99.00255584716797,12.064802169799805,46.970001220703125,36.86429977416992,39.295902252197266,25.273773193359375,81.66000366210938,148.3699951171875,96.13999938964844,76.3463363647461
2015-01-08,102.80648040771484,12.039959907531738,47.11000061035156,37.6544189453125,39.327144622802734,25.525217056274414,81.31999969482422,148.1300048828125,95.73999786376953,75.72402954101562
2015-01-09,102.9167251586914,11.78326416015625,46.529998779296875,37.3192138671875,38.827152252197266,25.449026107788086,82.06999969482422,148.92999267578125,96.18000030517578,75.95033264160156
2015-01-12,100.38079071044922,11.83294677734375,46.27000045776367,37.574607849121094,38.83496856689453,25.517601013183594,82.22000122070312,149.02000427246094,96.13999938964844,76.45137786865234
2015-01-13,101.27204895019531,11.799824714660645,46.310001373291016,37.6544189453125,38.81153106689453,25.517601013183594,82.55999755859375,148.91000366210938,95.62000274658203,76.12811279296875
2015-01-14,100.88615417480469,11.816384315490723,46.16999816894531,37.486820220947266,39.20995330810547,25.395689010620117,82.97000122070312,149.6199951171875,95.75,76.53218078613281
2015-01-15,98.14805603027344,11.62592887878418,44.29999923706055,37.59056854248047,39.68651580810547,25.34234619140625,83.63999938964844,149.02999877929688,112.19000244140625,77.2433853149414
2015-01-16,97.38544464111328,11.733579635620117,46.5099983215332,38.30088806152344,40.116188049316406,25.753799438476562,82.70999908447266,148.8800048828125,113.83000183105469,76.57258605957031
2015-01-20,99.8938217163086,13.000508308410645,45.16999816894531,38.452518463134766,40.35837173461914,25.868091583251953,81.91999816894531,148.8300018310547,111.36000061035156,77.29185485839844
2015-01-21,100.65644073486328,13.41453742980957,44.91999816894531,38.508384704589844,40.63180923461914,25.906192779541016,82.56999969482422,148.60000610351562,113.58000183105469,77.07363891601562
2015-01-22,103.27506256103516,13.323448181152344,47.0,38.14923858642578,40.72555160522461,25.746183395385742,82.0199966430664,147.35000610351562,111.6500015258789,76.85546112060547
2015-01-23,103.80799102783203,13.298606872558594,48.29999923706055,37.63047409057617,40.803672790527344,25.426164627075195,82.56999969482422,147.22999572753906,110.94999694824219,77.61510467529297
2015-01-26,103.91822814941406,13.439377784729004,47.540000915527344,37.47883605957031,40.803672790527344,25.281396865844727,82.0999984741211,148.27000427246094,108.0999984741211,77.6070556640625
